forecast_date,market,commodity,predicted_modal_price,lower_bound,upper_bound,confidence,model,data_status
2026-09-17,Vijayawada,Potato,1665,1499,1832,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-18,Vijayawada,Potato,1656,1491,1822,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-19,Vijayawada,Potato,1660,1494,1826,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-20,Vijayawada,Potato,1715,1544,1887,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-21,Vijayawada,Potato,1673,1505,1840,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-22,Vijayawada,Potato,1635,1471,1798,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-23,Vijayawada,Potato,1678,1510,1846,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-24,Vijayawada,Potato,1683,1515,1852,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-25,Vijayawada,Potato,1673,1506,1840,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-26,Vijayawada,Potato,1686,1518,1855,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-27,Vijayawada,Potato,1663,1496,1829,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-28,Vijayawada,Potato,1671,1504,1838,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-29,Vijayawada,Potato,1672,1505,1840,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-30,Vijayawada,Potato,1663,1496,1829,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-01,Vijayawada,Potato,1658,1492,1823,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-02,Vijayawada,Potato,1678,1510,1846,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-03,Vijayawada,Potato,1681,1513,1849,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-04,Vijayawada,Potato,1620,1458,1783,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-05,Vijayawada,Potato,1666,1500,1833,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-06,Vijayawada,Potato,1671,1504,1838,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-07,Vijayawada,Potato,1654,1489,1820,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-08,Vijayawada,Potato,1667,1500,1834,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-09,Vijayawada,Potato,1644,1480,1809,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-10,Vijayawada,Potato,1662,1496,1828,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-11,Vijayawada,Potato,1623,1461,1785,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-12,Vijayawada,Potato,1677,1510,1845,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-13,Vijayawada,Potato,1650,1485,1815,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-14,Vijayawada,Potato,1649,1484,1814,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-15,Vijayawada,Potato,1691,1522,1860,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-16,Vijayawada,Potato,1673,1506,1841,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-17,Machilipatnam,Potato,1661,1495,1827,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-18,Machilipatnam,Potato,1656,1491,1822,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-19,Machilipatnam,Potato,1642,1478,1806,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-20,Machilipatnam,Potato,1567,1410,1724,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-21,Machilipatnam,Potato,1620,1458,1782,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-22,Machilipatnam,Potato,1650,1485,1815,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-23,Machilipatnam,Potato,1664,1498,1831,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-24,Machilipatnam,Potato,1629,1466,1792,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-25,Machilipatnam,Potato,1645,1481,1810,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-26,Machilipatnam,Potato,1659,1494,1825,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-27,Machilipatnam,Potato,1616,1454,1777,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-28,Machilipatnam,Potato,1617,1456,1779,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-29,Machilipatnam,Potato,1696,1527,1866,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-30,Machilipatnam,Potato,1637,1474,1801,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-01,Machilipatnam,Potato,1605,1445,1766,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-02,Machilipatnam,Potato,1630,1467,1793,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-03,Machilipatnam,Potato,1650,1485,1815,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-04,Machilipatnam,Potato,1659,1493,1825,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-05,Machilipatnam,Potato,1630,1467,1793,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-06,Machilipatnam,Potato,1620,1458,1781,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-07,Machilipatnam,Potato,1662,1496,1829,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-08,Machilipatnam,Potato,1626,1464,1789,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-09,Machilipatnam,Potato,1640,1476,1804,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-10,Machilipatnam,Potato,1658,1493,1824,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-11,Machilipatnam,Potato,1635,1472,1799,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-12,Machilipatnam,Potato,1685,1517,1854,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-13,Machilipatnam,Potato,1628,1465,1791,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-14,Machilipatnam,Potato,1622,1460,1784,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-15,Machilipatnam,Potato,1621,1459,1784,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-10-16,Machilipatnam,Potato,1617,1455,1778,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-17,Gudivada,Potato,1644,1479,1808,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-18,Gudivada,Potato,1615,1454,1777,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-19,Gudivada,Potato,1679,1511,1847,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-20,Gudivada,Potato,1624,1462,1786,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-21,Gudivada,Potato,1626,1464,1789,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
2026-09-22,Gudivada,Potato,1591,1432,1750,MEDIUM,Holt-Winters Exponential Smoothing,FORECAST
