id,date,state,district,market,commodity,variety,min_price_quintal,max_price_quintal,modal_price_quintal,arrivals,original_unit,original_price,source,source_url,data_status,quality_flag,generation_method,observation_frequency,min_price_kg,max_price_kg,modal_price_kg
1,2021-01-01,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1153,1387,1267,242,Quintal,1267,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,11.53,13.87,12.67
2,2021-01-03,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1099,1476,1286,117,Quintal,1286,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.99,14.76,12.86
3,2021-01-04,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1081,1370,1206,441,Quintal,1206,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.81,13.7,12.06
4,2021-01-05,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1024,1260,1173,356,Quintal,1173,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.24,12.6,11.73
5,2021-01-06,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1086,1408,1251,220,Quintal,1251,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.86,14.08,12.51
6,2021-01-07,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1111,1352,1241,175,Quintal,1241,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,11.11,13.52,12.41
7,2021-01-08,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1226,1470,1296,24,Quintal,1296,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,12.26,14.7,12.96
8,2021-01-10,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,983,1236,1155,45,Quintal,1155,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.83,12.36,11.55
9,2021-01-11,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1204,1452,1279,190,Quintal,1279,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,12.04,14.52,12.79
10,2021-01-12,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1193,1414,1312,59,Quintal,1312,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,11.93,14.14,13.12
11,2021-01-13,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1014,1331,1187,289,Quintal,1187,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.14,13.31,11.87
12,2021-01-14,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1120,1384,1236,152,Quintal,1236,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,11.2,13.84,12.36
13,2021-01-15,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1048,1290,1152,192,Quintal,1152,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.48,12.9,11.52
14,2021-01-16,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1036,1297,1188,129,Quintal,1188,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.36,12.97,11.88
15,2021-01-17,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1050,1334,1197,78,Quintal,1197,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.5,13.34,11.97
16,2021-01-18,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1046,1303,1164,109,Quintal,1164,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.46,13.03,11.64
17,2021-01-19,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1049,1245,1178,103,Quintal,1178,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.49,12.45,11.78
18,2021-01-20,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1189,1348,1252,332,Quintal,1252,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,11.89,13.48,12.52
19,2021-01-21,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1091,1310,1188,137,Quintal,1188,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.91,13.1,11.88
20,2021-01-22,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1004,1299,1149,189,Quintal,1149,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.04,12.99,11.49
21,2021-01-23,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1075,1368,1243,121,Quintal,1243,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.75,13.68,12.43
22,2021-01-24,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1045,1217,1122,93,Quintal,1122,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.45,12.17,11.22
23,2021-01-25,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1095,1340,1193,7,Quintal,1193,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.95,13.4,11.93
24,2021-01-26,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1057,1228,1115,281,Quintal,1115,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.57,12.28,11.15
25,2021-01-27,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1012,1256,1165,240,Quintal,1165,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.12,12.56,11.65
26,2021-01-28,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1068,1306,1142,345,Quintal,1142,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.68,13.06,11.42
27,2021-01-29,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1003,1142,1059,367,Quintal,1059,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.03,11.42,10.59
28,2021-01-30,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,983,1269,1154,164,Quintal,1154,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.83,12.69,11.54
29,2021-01-31,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1072,1305,1185,323,Quintal,1185,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.72,13.05,11.85
30,2021-02-01,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1091,1268,1160,174,Quintal,1160,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.91,12.68,11.6
31,2021-02-03,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1064,1275,1134,192,Quintal,1134,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.64,12.75,11.34
32,2021-02-04,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1060,1336,1236,456,Quintal,1236,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.6,13.36,12.36
33,2021-02-05,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,943,1153,1009,134,Quintal,1009,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.43,11.53,10.09
34,2021-02-06,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,934,1149,1062,418,Quintal,1062,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.34,11.49,10.62
35,2021-02-07,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1014,1223,1137,517,Quintal,1137,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.14,12.23,11.37
36,2021-02-08,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,923,1199,1082,150,Quintal,1082,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.23,11.99,10.82
37,2021-02-10,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1043,1204,1118,376,Quintal,1118,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.43,12.04,11.18
38,2021-02-11,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,940,1157,1088,153,Quintal,1088,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.4,11.57,10.88
39,2021-02-12,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,927,1129,1067,518,Quintal,1067,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.27,11.29,10.67
40,2021-02-13,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,920,1116,1053,204,Quintal,1053,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.2,11.16,10.53
41,2021-02-14,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1021,1321,1194,93,Quintal,1194,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,10.21,13.21,11.94
42,2021-02-15,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,923,1119,1064,274,Quintal,1064,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.23,11.19,10.64
43,2021-02-16,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,943,1263,1103,128,Quintal,1103,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.43,12.63,11.03
44,2021-02-17,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,990,1225,1095,251,Quintal,1095,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.9,12.25,10.95
45,2021-02-18,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,996,1197,1071,65,Quintal,1071,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.96,11.97,10.71
46,2021-02-19,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,997,1193,1070,94,Quintal,1070,VYAPTI Synthetic Data Engine,,SYNTHETIC,NORMAL,seasonality + historical distribution + stochastic variation,SYNTHETIC_DAILY,9.97,11.93,10.7
