id,date,state,district,market,commodity,variety,min_price_quintal,max_price_quintal,modal_price_quintal,arrivals,original_unit,original_price,source,source_url,data_status,quality_flag,generation_method,observation_frequency,min_price_kg,max_price_kg,modal_price_kg
1966,2026-09-01,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1462,1788,1625,541,Quintal,1973,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.62,17.88,16.25
1967,2026-09-03,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1456,1780,1618,23,Quintal,2014,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.56,17.8,16.18
1968,2026-09-04,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1399,1709,1554,215,Quintal,1986,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,13.99,17.09,15.54
1969,2026-09-05,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1397,1707,1552,238,Quintal,1947,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,13.97,17.07,15.52
1970,2026-09-06,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1398,1708,1553,48,Quintal,2021,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,13.98,17.08,15.53
1971,2026-09-07,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1451,1773,1612,38,Quintal,2045,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.51,17.73,16.12
1972,2026-09-08,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1473,1801,1637,433,Quintal,2096,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.73,18.01,16.37
1973,2026-09-09,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1399,1709,1554,158,Quintal,2047,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,13.99,17.09,15.54
1974,2026-09-10,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1449,1771,1610,402,Quintal,2036,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.49,17.71,16.1
1975,2026-09-11,Andhra Pradesh,Krishna,Vijayawada,Potato,Local,1480,1808,1644,336,Quintal,2074,Agmarknet (Web Search Summary),https://agmarknet.gov.in,VERIFIED,NORMAL,Directly fetched,DAILY,14.8,18.08,16.44
